Protein	Module	Drug Target?	Essential?
YP_039486.1	1	1	0
YP_039494.1	3	0	0
YP_039495.1	2	0	0
YP_039510.1	2	0	0
YP_039578.1	1	0	0
YP_039605.1	3	0	0
YP_039682.1	3	0	0
YP_039689.1	1	0	0
YP_039699.1	2	0	0
YP_039817.1	2	0	0
YP_039855.1	1	0	0
YP_039865.1	1	0	0
YP_039866.1	2	0	1
YP_039910.1	2	0	0
YP_039920.1	2	0	0
YP_039922.1	2	0	0
YP_039941.1	3	1	0
YP_039951.1	2	0	0
YP_039964.1	2	0	0
YP_039972.1	3	0	0
YP_039991.1	1	0	0
YP_039997.1	2	1	0
YP_040001.1	2	1	0
YP_040002.1	2	0	0
YP_040042.1	2	0	0
YP_040059.1	1	0	0
YP_040083.1	1	0	0
YP_040095.1	2	0	0
YP_040113.1	2	0	0
YP_040193.1	2	1	0
YP_040200.1	2	1	0
YP_040202.1	2	0	0
YP_040254.1	2	0	0
YP_040255.1	1	0	0
YP_040256.1	2	0	0
YP_040285.1	2	1	0
YP_040342.1	1	0	0
YP_040346.1	3	0	0
YP_040349.1	1	1	0
YP_040352.1	2	0	0
YP_040360.1	2	0	0
YP_040369.1	2	0	0
YP_040403.1	3	0	0
YP_040450.1	2	0	0
YP_040469.1	1	0	0
YP_040470.1	2	0	1
YP_040471.1	1	0	1
YP_040532.1	3	0	0
YP_040575.1	2	0	0
YP_040596.1	3	0	0
YP_040619.1	3	0	0
YP_040625.1	3	0	0
YP_040632.1	3	0	0
YP_040633.1	2	0	1
YP_040643.1	2	0	0
YP_040644.1	1	0	0
YP_040661.1	1	0	1
YP_040662.1	1	0	0
YP_040679.1	2	0	0
YP_040758.1	2	0	0
YP_040786.1	2	1	0
YP_040814.1	2	0	0
YP_040878.1	1	1	0
YP_040882.1	1	0	1
YP_040985.1	1	0	0
YP_041018.1	3	0	0
YP_041025.1	3	1	0
YP_041037.1	3	1	0
YP_041039.1	2	0	0
YP_041052.1	3	0	0
YP_041099.1	2	1	0
YP_041153.1	2	0	0
YP_041164.1	2	0	1
YP_041176.1	1	0	0
YP_041196.1	1	0	1
YP_041229.1	1	1	0
YP_041254.1	1	0	0
YP_041317.1	2	0	0
YP_041358.1	3	0	0
YP_041364.1	2	0	0
YP_041365.1	2	0	0
YP_041370.1	2	1	0
YP_041479.1	2	0	0
YP_041531.1	2	1	0
YP_041560.1	2	0	0
YP_041570.1	1	0	0
YP_041572.1	1	1	0
YP_041573.1	3	0	1
YP_041584.1	2	0	1
YP_041600.1	2	0	1
YP_041615.1	1	0	0
YP_041626.1	1	0	0
YP_041656.1	1	0	0
YP_041664.1	1	1	1
YP_041674.1	3	0	0
YP_041676.1	3	0	0
YP_041723.1	3	0	0
YP_041856.1	1	0	0
YP_041869.1	2	0	0
YP_041901.1	2	0	0
YP_041927.1	3	0	0
YP_041942.1	2	0	0
YP_041979.1	3	0	0
YP_042026.1	1	0	0
YP_042027.1	3	0	0
YP_042055.1	1	0	0
YP_042056.1	1	0	0
YP_042108.1	2	0	0
YP_040696.1	3	0	0
YP_040887.1	3	0	0
YP_040233.1	1	0	0
YP_039914.1	2	0	0
YP_039952.1	1	0	0
YP_041585.1	3	0	0
YP_040781.1	3	0	0
YP_040393.1	3	0	0
YP_041366.1	1	0	0
YP_041480.1	1	0	0
YP_041741.1	1	0	0
YP_041095.1	2	0	0
YP_040876.1	2	0	0
YP_039845.1	2	0	0
YP_040616.1	2	0	0
