Protein	Module	Drug Target?	Essential?
YP_041553.1	3	0	0
YP_041255.1	1	0	0
YP_041377.1	1	0	0
YP_041712.1	1	0	0
YP_041898.1	1	0	0
YP_040967.1	2	0	0
YP_041517.1	1	0	0
YP_041473.1	1	0	0
YP_041755.1	2	0	0
YP_040251.1	1	0	0
YP_041207.1	1	0	0
YP_039944.1	2	0	0
YP_040088.1	2	0	0
YP_041217.1	2	0	0
YP_041895.1	2	0	0
YP_039985.1	2	0	0
YP_040188.1	2	0	0
YP_041031.1	2	0	0
YP_039995.1	2	0	0
YP_039709.1	2	0	0
YP_040576.1	2	0	0
YP_041734.1	2	0	0
YP_041205.1	2	0	0
YP_039718.1	2	0	0
YP_041991.1	1	0	0
YP_039861.1	2	0	0
YP_041166.1	1	0	0
YP_039711.1	2	0	0
YP_040322.1	2	0	0
YP_040598.1	2	0	0
YP_041112.1	2	0	0
YP_041357.1	2	0	0
YP_041611.1	2	0	0
YP_040858.1	2	0	0
YP_041105.1	2	0	0
YP_039824.1	3	0	0
YP_040637.1	3	0	0
YP_041156.1	3	0	0
YP_041233.1	3	0	0
YP_041468.1	3	0	0
YP_039884.1	1	0	0
YP_039790.1	3	0	0
YP_041550.1	3	0	0
YP_041209.1	2	0	0
YP_039956.1	2	0	0
YP_041924.1	1	0	0
YP_040605.1	2	0	0
