Protein	Module	Drug Target?	Essential?
YP_039481.1	1	0	0
YP_039482.1	1	1	0
YP_039483.1	3	1	0
YP_039493.1	1	0	0
YP_039496.1	1	0	0
YP_039515.1	2	1	0
YP_039583.1	1	0	0
YP_039609.1	3	0	0
YP_039634.1	1	0	0
YP_039638.1	3	0	0
YP_039654.1	1	0	0
YP_039663.1	1	0	0
YP_039688.1	3	0	0
YP_039705.1	3	0	0
YP_039763.1	2	0	0
YP_039765.1	1	0	0
YP_039812.1	3	0	0
YP_039813.1	3	0	0
YP_039819.1	2	0	0
YP_039821.1	2	0	0
YP_039898.1	1	0	0
YP_039933.1	1	1	0
YP_039942.1	3	0	0
YP_039947.1	1	0	0
YP_039950.1	3	0	0
YP_039953.1	2	0	0
YP_039959.1	2	0	0
YP_039962.1	3	0	0
YP_039967.1	1	0	0
YP_039992.1	3	0	0
YP_039993.1	3	1	0
YP_039994.1	2	0	0
YP_039999.1	2	1	0
YP_040000.1	2	0	0
YP_040007.1	1	0	0
YP_040054.1	2	0	0
YP_040060.1	3	0	0
YP_040085.1	1	0	0
YP_040093.1	3	0	0
YP_040094.1	3	1	0
YP_040099.1	1	0	0
YP_040100.1	2	0	0
YP_040122.1	2	0	0
YP_040123.1	1	0	0
YP_040151.1	3	0	0
YP_040162.1	2	0	0
YP_040183.1	2	0	0
YP_040201.1	1	0	0
YP_040212.1	1	0	0
YP_040234.1	3	0	0
YP_040235.1	3	0	0
YP_040239.1	3	0	0
YP_040240.1	1	0	0
YP_040258.1	1	0	0
YP_040262.1	2	0	0
YP_040263.1	2	0	0
YP_040305.1	1	0	0
YP_040309.1	1	0	0
YP_040325.1	1	0	0
YP_040341.1	3	0	0
YP_040345.1	1	0	0
YP_040348.1	3	1	0
YP_040368.1	2	1	0
YP_040374.1	1	0	0
YP_040416.1	2	0	0
YP_040442.1	2	0	0
YP_040451.1	1	0	0
YP_040461.1	1	0	0
YP_040462.1	3	0	0
YP_040476.1	2	0	0
YP_040477.1	3	0	0
YP_040480.1	3	0	0
YP_040481.1	3	0	0
YP_040483.1	3	0	0
YP_040496.1	2	0	0
YP_040525.1	1	1	0
YP_040531.1	1	0	0
YP_040548.1	2	0	0
YP_040568.1	2	1	0
YP_040570.1	3	1	0
YP_040573.1	3	1	0
YP_040584.1	1	0	0
YP_040602.1	1	1	0
YP_040604.1	3	0	0
YP_040620.1	2	0	0
YP_040622.1	1	0	0
YP_040624.1	2	0	1
YP_040628.1	2	0	0
YP_040630.1	3	0	0
YP_040641.1	3	0	0
YP_040656.1	2	0	0
YP_040658.1	1	0	0
YP_040660.1	2	0	0
YP_040672.1	1	0	0
YP_040684.1	1	0	0
YP_040690.1	2	0	0
YP_040735.1	1	0	0
YP_040738.1	1	0	0
YP_040752.1	2	0	0
YP_040771.1	3	1	0
YP_040772.1	1	1	0
YP_040801.1	1	0	0
YP_040805.1	2	0	0
YP_040816.1	2	0	0
YP_040826.1	3	0	0
YP_040827.1	3	0	0
YP_040832.1	1	0	0
YP_040841.1	1	1	0
YP_040842.1	1	1	0
YP_040852.1	1	0	0
YP_040863.1	3	1	0
YP_040870.1	1	0	0
YP_040879.1	2	0	0
YP_040884.1	2	0	1
YP_040886.1	3	0	0
YP_040892.1	1	0	0
YP_040911.1	3	0	0
YP_040941.1	3	0	0
YP_040990.1	1	0	0
YP_040992.1	1	0	0
YP_040993.1	1	0	0
YP_041011.1	1	1	0
YP_041029.1	1	0	0
YP_041030.1	3	0	0
YP_041034.1	3	1	0
YP_041056.1	2	0	0
YP_041057.1	2	0	0
YP_041066.1	2	0	0
YP_041067.1	2	1	0
YP_041070.1	1	1	0
YP_041075.1	3	0	0
YP_041079.1	2	0	0
YP_041087.1	3	1	0
YP_041090.1	1	0	0
YP_041091.1	2	0	0
YP_041096.1	3	0	0
YP_041102.1	2	0	0
YP_041103.1	3	0	0
YP_041109.1	3	0	1
YP_041115.1	2	0	0
YP_041141.1	1	0	0
YP_041142.1	2	0	1
YP_041145.1	2	0	0
YP_041147.1	2	0	0
YP_041160.1	1	0	0
YP_041163.1	1	0	1
YP_041165.1	3	1	0
YP_041171.1	2	0	0
YP_041175.1	1	0	0
YP_041184.1	2	1	0
YP_041192.1	2	0	0
YP_041193.1	3	1	0
YP_041202.1	2	0	0
YP_041203.1	3	0	0
YP_041208.1	2	0	0
YP_041256.1	1	1	0
YP_041303.1	3	0	0
YP_041323.1	1	0	0
YP_041329.1	1	0	0
YP_041353.1	3	1	0
YP_041369.1	3	0	0
YP_041379.1	2	0	0
YP_041380.1	1	0	0
YP_041386.1	1	0	0
YP_041449.1	3	0	0
YP_041472.1	1	1	0
YP_041488.1	3	0	0
YP_041489.1	1	0	0
YP_041497.1	1	1	0
YP_041513.1	3	0	0
YP_041514.1	3	1	0
YP_041530.1	2	0	0
YP_041551.1	1	0	0
YP_041552.1	3	0	0
YP_041561.1	1	0	0
YP_041566.1	2	0	0
YP_041568.1	2	0	0
YP_041581.1	1	0	0
YP_041641.1	3	0	0
YP_041644.1	3	0	0
YP_041655.1	2	1	0
YP_041660.1	3	0	0
YP_041663.1	2	0	0
YP_041665.1	2	0	0
YP_041666.1	2	0	0
YP_041668.1	1	0	0
YP_041671.1	2	0	0
YP_041675.1	2	0	0
YP_041677.1	2	0	0
YP_041678.1	2	0	0
YP_041679.1	3	0	0
YP_041680.1	1	0	0
YP_041681.1	2	0	0
YP_041682.1	2	0	0
YP_041683.1	2	0	0
YP_041684.1	1	0	0
YP_041685.1	2	1	0
YP_041687.1	2	0	0
YP_041688.1	2	0	0
YP_041689.1	2	1	0
YP_041690.1	2	0	0
YP_041691.1	2	0	0
YP_041694.1	2	0	0
YP_041701.1	2	0	0
YP_041709.1	3	0	0
YP_041716.1	1	0	0
YP_041729.1	1	0	0
YP_041732.1	1	0	0
YP_041745.1	2	0	0
YP_041760.1	3	0	0
YP_041770.1	1	0	0
YP_041807.1	3	0	0
YP_041852.1	3	0	0
YP_041854.1	2	0	0
YP_041964.1	1	0	0
YP_041973.1	1	0	0
YP_041982.1	1	0	0
YP_042011.1	3	0	0
YP_042022.1	1	0	0
YP_042029.1	2	0	0
YP_042032.1	1	0	0
YP_042043.1	1	0	0
YP_042053.1	1	0	0
YP_042070.1	1	0	0
YP_042131.1	1	0	0
YP_042132.1	2	1	0
YP_041673.1	1	0	0
YP_040961.1	3	0	0
YP_040482.1	3	0	0
YP_041113.1	2	0	0
YP_040611.1	2	0	0
YP_041417.1	2	0	0
YP_041020.1	1	0	0
YP_041000.1	1	0	0
YP_041051.1	1	0	0
YP_040507.1	1	0	0
YP_041413.1	1	0	0
YP_041718.1	1	0	0
YP_040441.1	2	0	0
YP_041047.1	2	0	0
YP_041307.1	2	0	0
YP_041396.1	2	0	0
