Protein	Module	Drug Target?	Essential?
YP_039480.1	2	0	0
YP_039486.1	4	1	0
YP_039492.1	4	0	0
YP_039494.1	4	0	0
YP_039605.1	4	0	0
YP_039699.1	4	0	0
YP_039715.1	1	0	0
YP_039865.1	4	0	0
YP_039866.1	2	0	1
YP_039920.1	2	0	0
YP_039922.1	2	0	0
YP_039927.1	2	0	0
YP_039941.1	4	1	0
YP_039951.1	1	0	0
YP_039957.1	1	0	0
YP_039961.1	1	0	0
YP_039964.1	4	0	0
YP_039968.1	1	1	0
YP_039972.1	4	0	0
YP_039991.1	4	0	0
YP_040059.1	4	0	0
YP_040061.1	1	1	0
YP_040083.1	4	0	0
YP_040095.1	2	0	0
YP_040113.1	2	0	0
YP_040166.1	2	0	0
YP_040249.1	4	0	0
YP_040254.1	2	0	0
YP_040255.1	4	0	0
YP_040256.1	4	0	0
YP_040273.1	2	0	0
YP_040285.1	4	1	0
YP_040289.1	2	0	0
YP_040342.1	4	0	0
YP_040346.1	2	0	0
YP_040349.1	3	1	0
YP_040369.1	2	0	0
YP_040383.1	3	1	0
YP_040403.1	2	0	0
YP_040406.1	1	1	1
YP_040450.1	2	0	0
YP_040469.1	4	0	0
YP_040470.1	2	0	1
YP_040471.1	4	0	1
YP_040478.1	4	0	0
YP_040526.1	3	1	0
YP_040532.1	4	0	0
YP_040580.1	1	1	0
YP_040596.1	2	0	0
YP_040618.1	2	0	0
YP_040619.1	1	0	0
YP_040625.1	4	0	0
YP_040627.1	1	0	1
YP_040632.1	2	0	0
YP_040644.1	4	0	0
YP_040645.1	1	0	0
YP_040650.1	1	1	0
YP_040661.1	4	0	1
YP_040662.1	4	0	0
YP_040687.1	1	0	0
YP_040753.1	3	0	0
YP_040758.1	4	0	0
YP_040767.1	1	0	0
YP_040805.1	1	0	0
YP_040809.1	2	0	0
YP_040867.1	1	1	0
YP_040878.1	4	1	0
YP_040882.1	4	0	1
YP_040985.1	2	0	0
YP_041002.1	3	0	0
YP_041025.1	4	1	0
YP_041037.1	2	1	0
YP_041039.1	2	0	0
YP_041045.1	2	0	0
YP_041084.1	2	0	0
YP_041130.1	2	1	0
YP_041135.1	2	0	0
YP_041137.1	1	0	0
YP_041149.1	3	1	0
YP_041154.1	2	0	0
YP_041164.1	4	0	1
YP_041176.1	4	0	0
YP_041196.1	4	0	1
YP_041206.1	1	0	0
YP_041221.1	3	0	0
YP_041222.1	3	0	0
YP_041229.1	2	1	0
YP_041250.1	2	0	0
YP_041254.1	4	0	0
YP_041358.1	4	0	0
YP_041472.1	4	1	0
YP_041479.1	2	0	0
YP_041570.1	3	0	0
YP_041572.1	3	1	0
YP_041573.1	2	0	1
YP_041575.1	1	0	0
YP_041586.1	2	0	0
YP_041600.1	2	0	1
YP_041656.1	4	0	0
YP_041674.1	4	0	0
YP_041676.1	4	0	0
YP_041686.1	1	0	0
YP_041723.1	4	0	0
YP_041856.1	4	0	0
YP_041858.1	2	0	0
YP_041927.1	4	0	0
YP_041979.1	4	0	0
YP_042026.1	4	0	0
YP_042055.1	4	0	0
YP_042108.1	2	0	0
YP_039808.1	2	0	0
YP_039928.1	2	0	0
YP_039981.1	1	1	0
YP_039990.1	2	0	0
YP_040102.1	2	0	0
YP_040115.1	2	0	0
YP_040213.1	1	0	0
YP_040257.1	2	0	0
YP_040288.1	2	0	0
YP_040387.1	1	0	0
YP_040696.1	2	0	0
