Protein	Module	Drug Target?	Essential?
YP_040188.1	2	0	0
YP_041031.1	2	0	0
YP_039995.1	2	0	0
YP_039709.1	2	0	0
YP_040576.1	2	0	0
YP_040989.1	4	0	0
YP_040991.1	4	0	0
YP_041205.1	2	0	0
YP_039718.1	2	0	0
YP_040824.1	4	0	0
YP_039861.1	2	0	0
YP_041166.1	4	0	0
YP_039711.1	4	0	0
YP_040322.1	4	0	0
YP_040598.1	4	0	0
YP_041112.1	4	0	0
YP_041357.1	4	0	0
YP_041611.1	2	0	0
YP_040858.1	2	0	0
YP_041105.1	2	0	0
YP_039824.1	1	0	0
YP_040637.1	1	0	0
YP_041156.1	1	0	0
YP_041233.1	1	0	0
YP_041468.1	1	0	0
YP_039884.1	1	0	0
YP_039790.1	1	0	0
YP_041550.1	3	0	0
YP_040616.1	4	0	0
YP_041209.1	2	0	0
YP_039956.1	2	0	0
YP_041924.1	4	0	0
