Protein	Module	Drug Target?	Essential?
YP_039480.1	8	0	0
YP_039481.1	7	0	0
YP_039482.1	1	1	0
YP_039483.1	1	1	0
YP_039486.1	8	1	0
YP_039492.1	8	0	0
YP_039493.1	3	0	0
YP_039494.1	8	0	0
YP_039495.1	3	0	0
YP_039496.1	3	0	0
YP_039510.1	3	0	0
YP_039515.1	7	1	0
YP_039578.1	1	0	0
YP_039583.1	3	0	0
YP_039605.1	8	0	0
YP_039609.1	3	0	0
YP_039634.1	3	0	0
YP_039638.1	3	0	0
YP_039654.1	3	0	0
YP_039663.1	3	0	0
YP_039682.1	3	0	0
YP_039688.1	3	0	0
YP_039689.1	1	0	0
YP_039699.1	8	0	0
YP_039705.1	3	0	0
YP_039715.1	8	0	0
YP_039763.1	7	0	0
YP_039765.1	3	0	0
YP_039812.1	3	0	0
YP_039813.1	3	0	0
YP_039817.1	3	0	0
YP_039819.1	7	0	0
YP_039821.1	7	0	0
YP_039855.1	3	0	0
YP_039865.1	8	0	0
YP_039866.1	8	0	1
YP_039898.1	3	0	0
YP_039910.1	3	0	0
YP_039920.1	8	0	0
YP_039922.1	8	0	0
YP_039927.1	8	0	0
YP_039933.1	7	1	0
YP_039941.1	8	1	0
YP_039942.1	3	0	0
YP_039947.1	3	0	0
YP_039950.1	3	0	0
YP_039951.1	8	0	0
YP_039953.1	3	0	0
YP_039957.1	8	0	0
YP_039959.1	7	0	0
YP_039961.1	8	0	0
YP_039962.1	3	0	0
YP_039964.1	8	0	0
YP_039967.1	3	0	0
YP_039968.1	8	1	0
YP_039972.1	8	0	0
YP_039978.1	3	0	0
YP_039991.1	8	0	0
YP_039992.1	7	0	0
YP_039993.1	7	1	0
YP_039994.1	7	0	0
YP_039996.1	1	1	0
YP_039997.1	1	1	0
YP_039999.1	7	1	0
YP_040000.1	7	0	0
YP_040001.1	3	1	0
YP_040002.1	3	0	0
YP_040007.1	3	0	0
YP_040042.1	3	0	0
YP_040054.1	7	0	0
YP_040059.1	8	0	0
YP_040060.1	7	0	0
YP_040061.1	8	1	0
YP_040083.1	8	0	0
YP_040085.1	5	0	0
YP_040093.1	3	0	0
YP_040094.1	3	1	0
YP_040095.1	8	0	0
YP_040099.1	3	0	0
YP_040100.1	7	0	0
YP_040113.1	8	0	0
YP_040122.1	7	0	0
YP_040123.1	3	0	0
YP_040151.1	3	0	0
YP_040162.1	7	0	0
YP_040166.1	8	0	0
YP_040183.1	7	0	0
YP_040193.1	3	1	0
YP_040200.1	3	1	0
YP_040201.1	1	0	0
YP_040202.1	1	0	0
YP_040212.1	3	0	0
YP_040216.1	3	0	0
YP_040234.1	3	0	0
YP_040235.1	3	0	0
YP_040239.1	3	0	0
YP_040240.1	3	0	0
YP_040249.1	8	0	0
YP_040254.1	8	0	0
YP_040255.1	8	0	0
YP_040256.1	8	0	0
YP_040258.1	7	0	0
YP_040262.1	7	0	0
YP_040263.1	7	0	0
YP_040273.1	8	0	0
YP_040285.1	8	1	0
YP_040289.1	8	0	0
YP_040305.1	3	0	0
YP_040309.1	1	0	0
YP_040325.1	3	0	0
YP_040341.1	3	0	0
YP_040342.1	8	0	0
YP_040345.1	3	0	0
YP_040346.1	8	0	0
YP_040348.1	7	1	0
YP_040349.1	8	1	0
YP_040352.1	3	0	0
YP_040360.1	3	0	0
YP_040368.1	7	1	0
YP_040369.1	8	0	0
YP_040374.1	3	0	0
YP_040383.1	8	1	0
YP_040397.1	3	1	0
YP_040403.1	8	0	0
YP_040406.1	8	1	1
YP_040416.1	1	0	0
YP_040442.1	7	0	0
YP_040450.1	8	0	0
YP_040451.1	3	0	0
YP_040458.1	1	0	0
YP_040461.1	3	0	0
YP_040462.1	7	0	0
YP_040469.1	8	0	0
YP_040470.1	8	0	1
YP_040471.1	8	0	1
YP_040476.1	7	0	0
YP_040477.1	1	0	0
YP_040478.1	8	0	0
YP_040480.1	3	0	0
YP_040481.1	3	0	0
YP_040483.1	3	0	0
YP_040496.1	7	0	0
YP_040525.1	3	1	0
YP_040526.1	8	1	0
YP_040531.1	3	0	0
YP_040532.1	8	0	0
YP_040548.1	7	0	0
YP_040568.1	7	1	0
YP_040570.1	3	1	0
YP_040573.1	3	1	0
YP_040575.1	3	0	0
YP_040580.1	8	1	0
YP_040584.1	7	0	0
YP_040590.1	3	0	0
YP_040596.1	8	0	0
YP_040602.1	3	1	0
YP_040604.1	3	0	0
YP_040618.1	8	0	0
YP_040619.1	8	0	0
YP_040620.1	7	0	0
YP_040622.1	3	0	0
YP_040624.1	7	0	1
YP_040625.1	8	0	0
YP_040627.1	8	0	1
YP_040628.1	7	0	0
YP_040630.1	7	0	0
YP_040632.1	8	0	0
YP_040633.1	3	0	1
YP_040638.1	1	0	0
YP_040641.1	3	0	0
YP_040643.1	3	0	0
YP_040644.1	8	0	0
YP_040645.1	8	0	0
YP_040650.1	8	1	0
YP_040656.1	7	0	0
YP_040658.1	3	0	0
YP_040660.1	7	0	0
YP_040661.1	8	0	1
YP_040662.1	8	0	0
YP_040672.1	3	0	0
YP_040679.1	3	0	0
YP_040684.1	3	0	0
YP_040687.1	8	0	0
YP_040690.1	7	0	0
YP_040735.1	3	0	0
YP_040738.1	3	0	0
YP_040752.1	7	0	0
YP_040753.1	8	0	0
YP_040758.1	8	0	0
YP_040767.1	8	0	0
YP_040771.1	7	1	0
YP_040772.1	3	1	0
YP_040786.1	3	1	0
YP_040801.1	3	0	0
YP_040805.1	8	0	0
YP_040809.1	8	0	0
YP_040814.1	3	0	0
YP_040816.1	7	0	0
YP_040826.1	3	0	0
YP_040827.1	3	0	0
YP_040832.1	3	0	0
YP_040841.1	3	1	0
YP_040842.1	3	1	0
YP_040852.1	3	0	0
YP_040863.1	3	1	0
YP_040867.1	8	1	0
YP_040870.1	3	0	0
YP_040878.1	8	1	0
YP_040879.1	7	0	0
YP_040882.1	8	0	1
YP_040884.1	7	0	1
YP_040886.1	3	0	0
YP_040892.1	3	0	0
YP_040911.1	3	0	0
YP_040941.1	1	0	0
YP_040985.1	8	0	0
YP_040990.1	3	0	0
YP_040992.1	3	0	0
YP_040993.1	3	0	0
YP_041002.1	8	0	0
YP_041011.1	3	1	0
YP_041018.1	3	0	0
YP_041025.1	8	1	0
YP_041029.1	3	0	0
YP_041030.1	3	0	0
YP_041034.1	1	1	0
YP_041037.1	8	1	0
YP_041039.1	8	0	0
YP_041045.1	8	0	0
YP_041052.1	3	0	0
YP_041056.1	7	0	0
YP_041057.1	7	0	0
YP_041066.1	7	0	0
YP_041067.1	7	1	0
YP_041070.1	3	1	0
YP_041075.1	3	0	0
YP_041079.1	7	0	0
YP_041084.1	8	0	0
YP_041087.1	3	1	0
YP_041090.1	3	0	0
YP_041091.1	7	0	0
YP_041096.1	3	0	0
YP_041099.1	3	1	0
YP_041102.1	7	0	0
YP_041103.1	3	0	0
YP_041109.1	3	0	1
YP_041115.1	7	0	0
YP_041130.1	8	1	0
YP_041135.1	8	0	0
YP_041137.1	8	0	0
YP_041141.1	3	0	0
YP_041142.1	7	0	1
YP_041145.1	7	0	0
YP_041147.1	7	0	0
YP_041149.1	8	1	0
YP_041153.1	3	0	0
YP_041154.1	8	0	0
YP_041160.1	3	0	0
YP_041163.1	3	0	1
YP_041164.1	8	0	1
YP_041165.1	3	1	0
YP_041171.1	7	0	0
YP_041175.1	3	0	0
YP_041176.1	8	0	0
YP_041184.1	7	1	0
YP_041192.1	7	0	0
YP_041193.1	3	1	0
YP_041196.1	8	0	1
YP_041202.1	7	0	0
YP_041203.1	3	0	0
YP_041206.1	8	0	0
YP_041208.1	7	0	0
YP_041221.1	8	0	0
YP_041222.1	8	0	0
YP_041229.1	8	1	0
YP_041250.1	8	0	0
YP_041254.1	8	0	0
YP_041256.1	3	1	0
YP_041303.1	7	0	0
YP_041317.1	3	0	0
YP_041323.1	3	0	0
YP_041329.1	3	0	0
YP_041353.1	3	1	0
YP_041358.1	8	0	0
YP_041364.1	3	0	0
YP_041365.1	3	0	0
YP_041369.1	1	0	0
YP_041370.1	1	1	0
YP_041379.1	7	0	0
YP_041380.1	7	0	0
YP_041386.1	1	0	0
YP_041449.1	3	0	0
YP_041472.1	8	1	0
YP_041479.1	8	0	0
YP_041488.1	3	0	0
YP_041489.1	3	0	0
YP_041497.1	3	1	0
YP_041513.1	7	0	0
YP_041514.1	1	1	0
YP_041530.1	7	0	0
YP_041531.1	3	1	0
YP_041551.1	3	0	0
YP_041552.1	7	0	0
YP_041560.1	3	0	0
YP_041561.1	3	0	0
YP_041566.1	7	0	0
YP_041568.1	7	0	0
YP_041570.1	8	0	0
YP_041572.1	8	1	0
YP_041573.1	8	0	1
YP_041575.1	8	0	0
YP_041576.1	1	1	0
YP_041581.1	3	0	0
YP_041584.1	3	0	1
YP_041586.1	8	0	0
YP_041600.1	8	0	1
YP_041615.1	2	0	0
YP_041626.1	3	0	0
YP_041641.1	7	0	0
YP_041644.1	3	0	0
YP_041655.1	7	1	0
YP_041656.1	8	0	0
YP_041660.1	3	0	0
YP_041663.1	7	0	0
YP_041664.1	1	1	1
YP_041665.1	7	0	0
YP_041666.1	7	0	0
YP_041668.1	3	0	0
YP_041671.1	7	0	0
YP_041674.1	8	0	0
YP_041675.1	7	0	0
YP_041676.1	8	0	0
YP_041677.1	7	0	0
YP_041678.1	7	0	0
YP_041679.1	7	0	0
YP_041680.1	3	0	0
YP_041681.1	7	0	0
YP_041682.1	7	0	0
YP_041683.1	7	0	0
YP_041684.1	3	0	0
YP_041685.1	7	1	0
YP_041686.1	8	0	0
YP_041687.1	7	0	0
YP_041688.1	7	0	0
YP_041689.1	7	1	0
YP_041690.1	7	0	0
YP_041691.1	3	0	0
YP_041694.1	7	0	0
YP_041701.1	7	0	0
YP_041709.1	7	0	0
YP_041716.1	3	0	0
YP_041723.1	8	0	0
YP_041729.1	3	0	0
YP_041732.1	3	0	0
YP_041745.1	7	0	0
YP_041760.1	3	0	0
YP_041770.1	3	0	0
YP_041807.1	3	0	0
YP_041852.1	3	0	0
YP_041854.1	7	0	0
YP_041856.1	8	0	0
YP_041858.1	8	0	0
YP_041869.1	3	0	0
YP_041901.1	3	0	0
YP_041927.1	8	0	0
YP_041942.1	3	0	0
YP_041964.1	3	0	0
YP_041971.1	3	0	0
YP_041973.1	3	0	0
YP_041979.1	8	0	0
YP_041982.1	3	0	0
YP_042011.1	3	0	0
YP_042022.1	3	0	0
YP_042026.1	8	0	0
YP_042027.1	3	0	0
YP_042029.1	7	0	0
YP_042032.1	3	0	0
YP_042043.1	3	0	0
YP_042053.1	3	0	0
YP_042055.1	8	0	0
YP_042056.1	3	0	0
YP_042070.1	3	0	0
YP_042108.1	8	0	0
YP_042131.1	3	0	0
YP_042132.1	7	1	0
YP_039808.1	8	0	0
YP_039928.1	8	0	0
YP_039981.1	8	1	0
YP_039990.1	8	0	0
YP_040102.1	8	0	0
YP_040115.1	8	0	0
YP_040213.1	8	0	0
YP_040257.1	8	0	0
YP_040288.1	8	0	0
YP_040387.1	8	0	0
YP_040696.1	8	0	0
YP_040750.1	8	0	0
YP_040791.1	8	0	0
YP_040887.1	8	0	0
YP_041008.1	8	0	0
YP_041026.1	8	0	0
YP_041161.1	8	0	0
YP_041178.1	8	0	0
YP_041257.1	8	0	0
YP_041532.1	8	0	0
YP_041547.1	8	0	0
YP_041587.1	8	0	0
YP_041669.1	8	0	0
YP_041744.1	8	0	0
YP_041951.1	8	0	0
YP_042014.1	8	0	0
YP_041673.1	3	0	0
YP_040961.1	1	0	0
YP_040482.1	3	0	0
YP_039912.1	8	0	0
YP_039862.1	8	0	0
YP_040233.1	8	0	0
YP_040298.1	8	0	0
YP_040837.1	8	0	0
YP_040880.1	8	0	0
YP_041113.1	7	0	0
YP_041167.1	8	0	0
YP_041311.1	8	0	0
YP_041992.1	8	0	0
YP_039914.1	3	0	0
YP_039479.1	8	0	0
YP_039952.1	8	0	0
YP_040033.1	8	0	0
YP_040611.1	7	0	0
YP_040646.1	8	0	0
YP_040838.1	8	0	0
YP_041585.1	8	0	0
YP_041672.1	8	0	0
YP_040326.1	1	0	0
YP_039949.1	8	0	0
YP_039973.1	8	0	0
YP_040103.1	3	0	0
YP_040287.1	8	0	0
YP_040781.1	8	0	0
YP_041053.1	8	0	0
YP_041300.1	8	0	0
YP_041548.1	3	1	0
YP_041417.1	7	0	0
YP_040572.1	7	0	0
YP_041146.1	7	0	0
YP_040393.1	8	0	0
YP_041020.1	3	0	0
YP_041000.1	3	0	0
YP_041051.1	3	0	0
YP_040023.1	8	0	0
YP_040318.1	8	0	0
YP_041009.1	8	0	0
YP_039820.1	1	0	0
YP_039860.1	8	0	0
YP_040008.1	8	0	0
YP_040120.1	8	0	0
YP_040245.1	8	0	0
YP_040651.1	8	0	0
YP_040653.1	8	0	0
YP_040792.1	8	0	0
YP_041003.1	8	0	0
YP_041235.1	8	0	0
YP_041320.1	8	0	0
YP_041340.1	8	0	0
YP_041366.1	8	0	0
YP_041394.1	8	0	0
YP_039509.1	8	0	0
YP_040004.1	8	0	0
YP_040338.1	8	0	0
YP_040642.1	8	0	0
YP_040986.1	8	0	0
YP_041385.1	8	0	0
YP_041480.1	8	0	0
YP_041516.1	8	0	0
YP_041617.1	8	0	0
YP_040296.1	8	0	0
YP_040507.1	3	0	0
YP_041413.1	3	0	0
YP_040041.1	8	0	0
YP_040313.1	8	0	0
YP_040435.1	8	0	0
YP_040588.1	8	0	0
YP_040592.1	8	0	0
YP_040937.1	8	0	0
YP_041010.1	8	0	0
YP_041741.1	3	0	0
YP_041095.1	8	0	0
YP_041454.1	3	0	0
YP_041718.1	3	0	0
YP_040441.1	7	0	0
YP_041047.1	7	0	0
YP_041307.1	7	0	0
YP_041396.1	7	0	0
YP_041553.1	7	0	0
YP_041255.1	7	0	0
YP_041377.1	7	0	0
YP_041712.1	7	0	0
YP_041898.1	7	0	0
YP_039976.1	1	0	0
YP_039977.1	1	0	0
YP_041177.1	1	0	0
YP_040876.1	1	0	0
YP_040967.1	7	0	0
YP_039963.1	6	0	0
YP_041402.1	8	0	0
YP_041517.1	3	0	0
YP_039845.1	4	0	0
YP_041173.1	8	0	0
YP_040533.1	1	0	0
YP_040579.1	8	0	0
YP_040806.1	8	1	0
YP_041174.1	8	0	0
YP_041200.1	8	0	0
YP_041605.1	8	0	0
YP_041812.1	8	0	0
YP_041336.1	8	0	0
YP_040613.1	8	0	0
YP_040853.1	8	0	0
YP_039854.1	8	0	0
YP_040272.1	8	0	0
YP_040355.1	8	0	0
YP_040979.1	8	0	0
YP_041201.1	8	0	0
YP_041515.1	8	0	0
YP_041917.1	8	0	0
YP_042003.1	8	0	0
YP_042019.1	8	0	0
YP_041473.1	3	0	0
YP_042063.1	8	0	0
YP_041755.1	7	0	0
YP_040251.1	3	0	0
YP_041207.1	3	0	0
YP_040768.1	8	0	0
YP_039944.1	7	0	0
YP_040088.1	7	0	0
YP_041217.1	7	0	0
YP_040585.1	8	0	0
YP_041223.1	8	0	0
YP_041607.1	8	0	0
YP_039600.1	8	0	0
YP_039606.1	8	0	0
YP_039698.1	8	0	0
YP_040316.1	8	0	0
YP_040563.1	8	0	0
YP_040617.1	8	0	0
YP_040825.1	8	0	0
YP_040833.1	8	0	0
YP_040888.1	8	0	0
YP_041144.1	8	0	0
YP_041182.1	8	0	0
YP_041204.1	8	0	0
YP_041228.1	8	0	0
YP_041387.1	8	0	0
YP_041735.1	8	0	0
YP_041895.1	7	0	0
YP_040589.1	8	0	0
YP_039985.1	7	0	0
YP_040188.1	7	0	0
YP_041031.1	7	0	0
YP_039995.1	7	0	0
YP_039709.1	8	0	0
YP_040576.1	7	0	0
YP_040299.1	8	0	0
YP_040893.1	3	0	0
YP_040989.1	3	0	0
YP_040991.1	3	0	0
YP_040302.1	8	0	0
YP_041944.1	8	0	0
YP_039579.1	1	0	0
YP_040384.1	1	0	0
YP_041313.1	1	0	0
YP_041734.1	1	0	0
YP_040248.1	8	0	0
YP_040415.1	8	0	0
YP_041205.1	7	0	0
YP_039718.1	7	0	0
YP_040824.1	3	0	0
YP_039659.1	8	0	0
YP_041991.1	3	0	0
YP_039861.1	7	0	0
YP_041166.1	3	0	0
YP_039711.1	7	0	0
YP_040322.1	7	0	0
YP_040598.1	7	0	0
YP_041112.1	7	0	0
YP_041357.1	7	0	0
YP_041611.1	7	0	0
YP_040858.1	7	0	0
YP_041105.1	7	0	0
YP_040740.1	8	0	0
YP_040412.1	8	0	0
YP_039824.1	1	0	0
YP_040637.1	1	0	0
YP_041156.1	1	0	0
YP_041233.1	1	0	0
YP_041468.1	1	0	0
YP_039884.1	3	0	0
YP_039790.1	1	0	0
YP_041550.1	7	0	0
YP_040616.1	3	0	0
YP_041608.1	2	0	0
YP_041609.1	2	0	0
YP_041209.1	7	0	0
YP_039956.1	7	0	0
YP_041924.1	3	0	0
YP_040605.1	7	0	0
