Protein	Module	Drug Target?	Essential?
YP_039480.1	1	0	0
YP_039481.1	2	0	0
YP_039482.1	2	1	0
YP_039483.1	2	1	0
YP_039486.1	1	1	0
YP_039492.1	1	0	0
YP_039493.1	2	0	0
YP_039494.1	1	0	0
YP_039495.1	1	0	0
YP_039496.1	2	0	0
YP_039510.1	1	0	0
YP_039515.1	2	1	0
YP_039578.1	1	0	0
YP_039583.1	2	0	0
YP_039605.1	1	0	0
YP_039609.1	2	0	0
YP_039634.1	2	0	0
YP_039638.1	2	0	0
YP_039654.1	2	0	0
YP_039663.1	2	0	0
YP_039682.1	1	0	0
YP_039688.1	2	0	0
YP_039689.1	1	0	0
YP_039699.1	1	0	0
YP_039705.1	2	0	0
YP_039715.1	1	0	0
YP_039763.1	2	0	0
YP_039765.1	2	0	0
YP_039812.1	2	0	0
YP_039813.1	2	0	0
YP_039817.1	1	0	0
YP_039819.1	2	0	0
YP_039821.1	2	0	0
YP_039855.1	1	0	0
YP_039865.1	1	0	0
YP_039866.1	1	0	1
YP_039898.1	2	0	0
YP_039910.1	1	0	0
YP_039920.1	1	0	0
YP_039922.1	1	0	0
YP_039927.1	1	0	0
YP_039933.1	2	1	0
YP_039941.1	1	1	0
YP_039942.1	2	0	0
YP_039947.1	2	0	0
YP_039950.1	2	0	0
YP_039951.1	1	0	0
YP_039953.1	2	0	0
YP_039957.1	1	0	0
YP_039959.1	2	0	0
YP_039961.1	1	0	0
YP_039962.1	2	0	0
YP_039964.1	1	0	0
YP_039967.1	2	0	0
YP_039968.1	1	1	0
YP_039972.1	1	0	0
YP_039978.1	1	0	0
YP_039991.1	1	0	0
YP_039992.1	2	0	0
YP_039993.1	2	1	0
YP_039994.1	2	0	0
YP_039996.1	1	1	0
YP_039997.1	1	1	0
YP_039999.1	2	1	0
YP_040000.1	2	0	0
YP_040001.1	1	1	0
YP_040002.1	1	0	0
YP_040007.1	2	0	0
YP_040042.1	1	0	0
YP_040054.1	2	0	0
YP_040059.1	1	0	0
YP_040060.1	2	0	0
YP_040061.1	1	1	0
YP_040083.1	1	0	0
YP_040085.1	2	0	0
YP_040093.1	2	0	0
YP_040094.1	2	1	0
YP_040095.1	1	0	0
YP_040099.1	2	0	0
