Protein	Module	Drug Target?	Essential?
YP_041320.1	1	0	0
YP_041340.1	1	0	0
YP_041366.1	10	0	0
YP_041394.1	1	0	0
YP_039509.1	1	0	0
YP_040004.1	1	0	0
YP_040338.1	1	0	0
YP_040642.1	1	0	0
YP_040986.1	1	0	0
YP_041385.1	1	0	0
YP_041480.1	10	0	0
YP_041516.1	1	0	0
YP_041617.1	1	0	0
YP_040296.1	1	0	0
YP_040041.1	1	0	0
YP_040313.1	1	0	0
YP_040435.1	1	0	0
YP_040588.1	1	0	0
YP_040592.1	1	0	0
YP_040937.1	1	0	0
YP_041010.1	1	0	0
YP_041741.1	10	0	0
YP_041095.1	10	0	0
YP_041454.1	1	0	0
YP_039976.1	1	0	0
YP_039977.1	1	0	0
YP_041177.1	1	0	0
YP_040876.1	10	0	0
YP_039963.1	1	0	0
YP_041402.1	1	0	0
YP_039845.1	10	0	0
YP_041173.1	1	0	0
YP_040533.1	1	0	0
YP_040579.1	1	0	0
YP_040806.1	1	1	0
YP_041174.1	1	0	0
YP_041200.1	1	0	0
YP_041605.1	1	0	0
YP_041812.1	1	0	0
YP_041336.1	1	0	0
YP_040613.1	1	0	0
YP_040853.1	1	0	0
YP_039854.1	1	0	0
YP_040272.1	1	0	0
YP_040355.1	1	0	0
YP_040979.1	1	0	0
YP_041201.1	1	0	0
YP_041515.1	1	0	0
YP_041917.1	1	0	0
YP_042003.1	1	0	0
YP_042019.1	1	0	0
YP_042063.1	1	0	0
YP_040768.1	1	0	0
YP_040585.1	1	0	0
YP_041223.1	1	0	0
YP_041607.1	1	0	0
YP_039600.1	1	0	0
YP_039606.1	1	0	0
YP_039698.1	1	0	0
YP_040316.1	1	0	0
YP_040563.1	1	0	0
YP_040617.1	1	0	0
YP_040825.1	1	0	0
YP_040833.1	1	0	0
YP_040888.1	1	0	0
YP_041144.1	1	0	0
YP_041182.1	1	0	0
YP_041204.1	1	0	0
YP_041228.1	1	0	0
YP_041387.1	1	0	0
YP_041735.1	1	0	0
YP_040589.1	1	0	0
YP_040299.1	1	0	0
YP_040893.1	3	0	0
YP_040989.1	4	0	0
YP_040991.1	5	0	0
YP_040302.1	1	0	0
YP_041944.1	1	0	0
YP_039579.1	6	0	0
YP_040384.1	7	0	0
YP_041313.1	8	0	0
YP_040248.1	1	0	0
YP_040415.1	1	0	0
YP_040824.1	9	0	0
YP_039659.1	1	0	0
YP_040740.1	1	0	0
YP_040412.1	1	0	0
YP_040616.1	10	0	0
YP_041608.1	1	0	0
YP_041609.1	1	0	0
